sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id
FK0004461,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ PASTA & RICE MEALS",base,Schneiders Lunchmate 2 Cheese Pizza (132 g),,,,1,Taxable Goods,"Catalog, Search",2.0304,,,,,,,/FK0004461.png,Schneiders Lunchmate 2 Cheese Pizza (132 g),/FK0004461.png,,/FK0004461.png,,/FK0004461.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004462,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ SALADS",base,Classic Turkey Sandwich (1 ea),,,,1,Taxable Goods,"Catalog, Search",4.2984,,,,,,,,Classic Turkey Sandwich (1 ea),,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004463,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ SUSHI & BENTO",base,"Mandarin Shanghai Noodles, Thin (454 g)",,,,1,Taxable Goods,"Catalog, Search",2.0304,,,,,,,/FK0004463.png,"Mandarin Shanghai Noodles, Thin (454 g)",/FK0004463.png,,/FK0004463.png,,/FK0004463.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004464,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ SANDWICHES & LUNCH KITS",base,"Harvest Salad, Small",,,,1,Taxable Goods,"Catalog, Search",6.9012,,,,,,,/FK0004464.png,"Harvest Salad, Small",/FK0004464.png,,/FK0004464.png,,/FK0004464.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004465,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ SANDWICHES & LUNCH KITS",base,Bento Dynamite Roll (220 g),,,,1,Taxable Goods,"Catalog, Search",9.7092,,,,,,,/FK0004465.png,Bento Dynamite Roll (220 g),/FK0004465.png,,/FK0004465.png,,/FK0004465.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004466,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ SANDWICHES & LUNCH KITS",base,Schneiders Lunchmate Stacker Turkey (90 g),,,,1,Taxable Goods,"Catalog, Search",2.0304,,,,,,,/FK0004466.png,Schneiders Lunchmate Stacker Turkey (90 g),/FK0004466.png,,/FK0004466.png,,/FK0004466.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004467,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ CHICKEN & TURKEY MEALSÃŠ",base,"Chicken Salad Sandwich, Whole Wheat (1 ea)",,,,1,Taxable Goods,"Catalog, Search",4.2984,,,,,,,/FK0004467.png,"Chicken Salad Sandwich, Whole Wheat (1 ea)",/FK0004467.png,,/FK0004467.png,,/FK0004467.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004468,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ SUSHI & BENTO",base,Schneiders Lunchmate Mini Burgers (109 g),,,,1,Taxable Goods,"Catalog, Search",2.0304,,,,,,,/FK0004468.png,Schneiders Lunchmate Mini Burgers (109 g),/FK0004468.png,,/FK0004468.png,,/FK0004468.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004469,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ SALADS",base,BBQ Chicken Breast,,,,1,Taxable Goods,"Catalog, Search",6.966,,,,,,,,BBQ Chicken Breast,,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004470,,Default,virtual,"MAIN MENUBAR/FOOD/DELI & READY MEALS,MAIN MENUBAR/FOOD/DELI & READY MEALS/ SALADS",base,Bento Fuji Combo (320 g),,,,1,Taxable Goods,"Catalog, Search",12.9492,,,,,,,/FK0004470.png,Bento Fuji Combo (320 g),/FK0004470.png,,/FK0004470.png,,/FK0004470.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
